Ranked Venues - Harbor Freight Tools / Florida - Total - Oct 01, 2020 - Sep 30,2021,,,,,,
Rank,Name,Total Visits,lat,lng,Chain,Plotted,Percentile,State Rank
36,"Food City / 509 Asheville Hwy, Greeneville, TN, United States",468939,36.14727333,-82.84560067,Food City,78,53%,36/78
37,"Food City / 731 Highway 11 W, Church Hill, TN, Church Hill, TN, United States",464047,36.52651483,-82.68561197,Food City,78,52%,37/78
38,"Food City / 1000 Ladd Landing Blvd, Kingston, TN, United States",460108,35.88563981,-84.49678011,Food City,78,51%,38/78
39,"Food City / 7350 Clinton Hwy, Powell, TN, United States",454966,36.01786203,-84.04737823,Food City,78,50%,39/78
40,"Food City / 141 Towne Centre Dr, Crossville, TN, United States",454910,36.00093333,-84.92174439,Food City,78,48%,40/78
41,"Food City / 1105 E Morris Blvd, Morristown, TN, United States",454848,36.21717962,-83.28037313,Food City,78,47%,41/78
42,"Food City / 2755 E Andrew Johnson Hwy, Greeneville, TN, United States",454077,36.18280783,-82.77685859,Food City,78,46%,42/78
43,"Food City / 416 Eastern Plaza Shopping Ctr, Newport, TN, United States",448507,35.96694358,-83.18149467,Food City,78,44%,43/78
44,"Food City / 1199  Oak Ridge Tpke, Oak Ridge, TN, United States",443695,36.01703236,-84.24776492,Food City,78,43%,44/78
45,"Food City / 508 E Tri County Blvd, Oliver Springs, TN, United States",439533,36.03653101,-84.33067407,Food City,78,42%,45/78
46,"Food City / 1317 Virginia Ave, Bristol, TN, United States",429408,36.57964659,-82.1659899,Food City,78,41%,46/78
47,"Food City / 7202 Maynardville Pike, Knoxville, TN, United States",428329,36.08091476,-83.92458873,Food City,78,39%,47/78
48,"Food City / 10161 Dayton Pike, Soddy Daisy, TN",427482,35.25584682,-85.18375713,Food City,78,38%,48/78
49,"Food City / 3625 Parkway, Pigeon Forge, TN, United States",414774,35.78418934,-83.55057678,Food City,78,37%,49/78
50,"Food City / 4344 Maynardville Hwy, Maynardville, TN, United States",411193,36.25254314,-83.79426816,Food City,78,35%,50/78
51,"Food City / 1911 Moreland Dr, Kingsport, TN, United States",406810,36.48939032,-82.50810223,Food City,78,34%,51/78
52,"Food City / 8530 Hixson Pike, Hixson, TN, United States",401808,35.19886523,-85.15920381,Food City,78,33%,52/78
53,"Food City / 6951 Lee Hwy, Chattanooga, TN, United States",401469,35.04480979,-85.16435655,Food City,78,32%,53/78
54,"Food City / 1212 State St, White Pine, TN, United States",401084,36.10696843,-83.28142312,Food City,78,30%,54/78
55,"Food City / 110 North Industrial Drive, Erwin, TN, United States",388521,36.14875596,-82.41834111,Food City,78,29%,55/78
56,"Food City / 1430 Volunteer Parkway, Bristol, TN, United States",383488,36.55896019,-82.21428611,Food City,78,28%,56/78
57,"Food City / 2310 Sandstone Drive, Morristown, TN, United States",382233,36.20832751,-83.3248435,Food City,78,26%,57/78
58,"Food City / 2310 McGrady Dr SE, Cleveland, TN, United States",376799,35.12998583,-84.86669556,Food City,78,25%,58/78
59,"Food City / 9213 Lee Hwy, Ooltewah, TN, United States",376516,35.08657994,-85.0612465,Food City,78,24%,59/78
60,"Food City / 9565 Middlebrook Pike, Knoxville, TN, United States",366214,35.94873453,-84.11239994,Food City,78,23%,60/78
61,"Food City / 3715 Ringgold Rd, Chattanooga, TN, United States",364347,35.00140331,-85.25754721,Food City,78,21%,61/78
62,"Food City / 11501 Hardin Valley Road, Knoxville, TN, United States",347113,35.93137766,-84.18679659,Food City,78,20%,62/78
63,"Food City / 181 Western Plaza Way, Newport, TN, United States",345985,35.97204252,-83.20633137,Food City,78,19%,63/78
64,"Food City / 905 Snapps Ferry Rd, Greeneville, TN, United States",344225,36.17213196,-82.81531199,Food City,78,17%,64/78
65,"Food City / 5078 Clinton Hwy, Knoxville, TN, United States",343919,36.0049032,-83.9752504,Food City,78,16%,65/78
66,"Food City / 703  Signal Mountain Rd, Chattanooga, TN, United States",328434,35.09860403,-85.32922602,Food City,78,15%,66/78
