PROPERTY_ID,MARKETID,MARKET_NAME,SUBMARKET_CODE,SUBMARKET_NAME,COUNTY_NAME,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_PHONE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_STATUS,PROPERTY_DATE_PLANNED,PROPERTY_DATE_UNDERCONSTRUCTION,PROPERTY_DATE_RENTUP,PROPERTY_DATECOMPLETED,PROPERTY_MIXEDUSE,PROPERTY_MIXEDUSE_NOTES,PROPERTY_STUDENTHOUSING,PROPERTY_AFFORDABLEHOUSING,PROPERTY_MILITARYHOUSING,PROPERTY_AGERESTRICTED,PROPERTY_FRACTUREDCONDO,PROPERTY_ADAPTIVEREUSE,PROPERTY_SINGLEFAMILYRENTAL,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_MATRIX_URL
15_1358375,15,Miami,23,North Miami Beach,Miami-Dade,Bali,,1904 NE 167th Street,North Miami Beach,FL,33162,25.929326,-80.161286,,58,,,,C,Prospective,,,,,,,N,,N,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1358375
15_1385,15,Miami,17,Airport,Miami-Dade,Fairway,,75 Fairway Drive,Miami Springs,FL,33166,25.808931,-80.2818273,3058713746,62,40730,1.36,C,C,Completed,,,,1/1/63 0:00,FALSE,,N,N,N,N,,FALSE,,100,1227,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1385
15_1386,15,Miami,4,Miami - Little Havana,Miami-Dade,Garcia,,2150 NW 9th Street,Miami,FL,33125,25.7813247,-80.2308897,3056497509,61,35867,1.32,C,C+,Completed,,,,1/1/73 0:00,FALSE,,N,N,N,N,,,,100,1451,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1386
15_1387,15,Miami,20,Opa-locka,Miami-Dade,Georgia Ayers,,13280 Port Said Road,Opa-locka,FL,33054,25.89507,-80.253533,3053815081,72,70524,2.58,B,C,Completed,3/16/11 0:00,1/1/12 0:00,11/15/12 0:00,2/26/13 0:00,FALSE,,N,A,N,N,,FALSE,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1387
15_1390,15,Miami,11,Miami - Liberty City,Miami-Dade,Parkview Gardens,,1475 NW 61st Street,Miami,FL,33142,25.83128,-80.22242,3056966025,60,55200,1.6,B-,C,Completed,3/17/11 0:00,1/23/12 0:00,9/1/12 0:00,10/8/12 0:00,FALSE,,N,A,N,N,,FALSE,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1390
15_1403,15,Miami,26,Sunset,Miami-Dade,"Oaks, The",,8440 SW 107th Avenue,Miami,FL,33173,25.6897517,-80.3667784,3052610770,53,34144,1.38,C-,C+,Completed,,,,1/1/69 0:00,FALSE,,N,N,N,N,,,,100,1008,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1403
15_1404,15,Miami,10,Miami - Flagami,Miami-Dade,Casa Grande II,,4350 NW 10th Street,Miami,FL,33126,25.7814701,-80.2665373,7864165333,56,32432,1.4,C,C+,Completed,,,,1/1/67 0:00,FALSE,,N,N,N,N,,,,,1037,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1404
15_1408,15,Miami,22,North Miami,Miami-Dade,Lion King,,1500 NE 125th Terrace,North Miami,FL,33161,25.8913487,-80.1681066,3058992005,53,37086,1.18,C,C+,Completed,,,,1/1/61 0:00,FALSE,,N,N,N,N,,,,98.1,1392,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1408
15_1410,15,Miami,20,Opa-locka,Miami-Dade,Opa Locka,,2281 NW 135th Street,Miami,FL,33167,25.8977618,-80.2369185,3056857048,52,44042,1.17,C+,C,Completed,,,,1/1/69 0:00,FALSE,,N,N,N,N,,,,100,1120,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1410
15_1412,15,Miami,22,North Miami,Miami-Dade,Brentwood,,1660 NE 150th Street,Miami,FL,33181,25.9133559,-80.165962,9178471434,55,43696,0.83,C,C,Completed,,,,1/1/71 0:00,FALSE,,N,N,N,N,,,,98.2,1396,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1412
15_1413,15,Miami,23,North Miami Beach,Miami-Dade,Bayview,,3800 NE 168th Street,North Miami Beach,FL,33160,25.9345597,-80.1340044,3054461075,60,44640,1.06,C+,B+,Completed,,,,1/1/72 0:00,FALSE,,N,N,N,N,,,,96.7,1758,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1413
15_1420,15,Miami,20,Opa-locka,Miami-Dade,Silverado,Silver Blue Lakes,10421 NW 17th Avenue,Miami,FL,33147,25.8699295,-80.2258138,3053163282,60,61500,4.64,C+,C,Completed,,,,1/1/68 0:00,FALSE,,N,N,N,N,,,,90,1422,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1420
15_1427,15,Miami,6,Miami - Allapattah,Miami-Dade,2201 Enterprise,,2201 NW 23rd Street,Miami,FL,33142,25.7985157,-80.2319298,3054486265,50,32104,1.07,C,C,Completed,,,,1/1/65 0:00,FALSE,,N,N,N,N,,,,100,950,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1427
15_1429,15,Miami,18,Hialeah,Miami-Dade,Martha's on 24th Avenue,,5460 West 24th Avenue,Hialeah,FL,33016,25.8722848,-80.3315259,3058234994,78,60600,2.37,C,C,Completed,,,,1/1/93 0:00,FALSE,,N,N,N,N,,,,100,1304,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1429
