Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_nearby_Burlington,num_nearby_Kohl's,num_nearby_Lowe's,num_nearby_Ross_Dress_for_Less,num_nearby_The_Home_Depot,num_nearby_Walmart,num_nearby_HomeGoods,num_nearby_T.J._Maxx,num_nearby_Marshalls,tot_visits_nearby_Burlington,tot_visits_nearby_Kohl's,tot_visits_nearby_Lowe's,tot_visits_nearby_Ross_Dress_for_Less,tot_visits_nearby_The_Home_Depot,tot_visits_nearby_Walmart,tot_visits_nearby_HomeGoods,tot_visits_nearby_T.J._Maxx,tot_visits_nearby_Marshalls
3,T.J. Maxx,TN,35.92612102,-84.05038172,745427,"35.92612102,-84.05038172",1,2,2,3,2,3,1,0,2,232446,864232,1969968,925772,2009591,5997267,501003,,1229172
4,T.J. Maxx,TN,36.15764194,-85.51977024,660811,"36.15764194,-85.51977024",0,1,1,1,0,2,1,0,0,,323738,1378546,357762,,4567778,340950,,
5,T.J. Maxx,TN,35.20680554,-84.85005376,640877,"35.20680554,-84.85005376",0,1,1,1,1,2,1,0,0,,404792,922139,358260,681329,4323838,226016,,
6,T.J. Maxx,TN,35.68535549,-88.85815346,570941,"35.68535549,-88.85815346",0,1,2,1,1,2,0,0,1,,409556,1664939,414290,536823,4806689,,,429958
7,T.J. Maxx,TN,36.00897711,-84.25540392,564026,"36.00897711,-84.25540392",0,0,0,1,1,2,1,0,1,,,,316047,766007,3888148,248757,,667805
8,T.J. Maxx,TN,35.84369359,-86.42686426,561342,"35.84369359,-86.42686426",1,1,1,1,1,5,1,0,1,207209,462298,1047632,533136,1089643,8823711,357527,,345718
9,T.J. Maxx,TN,35.94843845,-86.82378745,556232,"35.94843845,-86.82378745",0,1,2,1,2,2,0,0,1,,386171,1520319,219721,1458332,3488690,,,294725
10,T.J. Maxx,TN,36.34252832,-82.37427925,545687,"36.34252832,-82.37427925",0,1,3,1,1,3,1,0,0,,391805,2346401,490858,542085,6862766,544090,,
11,T.J. Maxx,TN,36.58458236,-87.29943281,534449,"36.58458236,-87.29943281",0,1,2,1,1,3,0,0,1,,396081,1818423,123044,679421,7170553,,,380377
12,T.J. Maxx,TN,35.10794912,-89.89152508,500644,"35.10794912,-89.89152508",4,2,4,3,5,5,2,3,4,976749,583299,3391261,1158938,3531488,10746458,551036,1274627,1417131
13,T.J. Maxx,TN,35.13082689,-85.24237553,500491,"35.13082689,-85.24237553",2,2,2,2,2,5,1,1,2,479432,652227,1863642,500590,1469334,8588723,315205,192587,723259
14,T.J. Maxx,TN,35.19806565,-89.79795181,493384,"35.19806565,-89.79795181",3,1,3,2,3,4,1,3,3,758065,407725,2924792,819026,2290447,8415263,310435,1281887,1076952
15,T.J. Maxx,TN,35.98682337,-86.55388837,485393,"35.98682337,-86.55388837",0,1,2,1,2,4,0,0,0,,365835,1439243,405112,1314485,6509909,,,
16,T.J. Maxx,TN,35.09294198,-89.80711403,472892,"35.09294198,-89.80711403",4,2,5,4,5,5,2,3,4,976749,583299,4099769,1349030,3363531,10756206,551036,1302379,1417131
17,T.J. Maxx,TN,35.59649977,-87.05967781,420748,"35.59649977,-87.05967781",0,0,1,1,0,1,0,0,0,,,959375,228225,,2181544,,,
