Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_stores_Aldi,num_stores_Publix,num_stores_The_Fresh_Market,num_stores_Total_Wine_&_More,num_stores_Trader_Joe's,num_stores_Walmart_Neighborhood_Market,num_stores_Whole_Foods_Market,num_stores_Winn-Dixie,num_stores_ABC_Fine_Wine_&_Spirits,num_stores_Sprouts_Farmers_Market,total_visit_Aldi,total_visit_Publix,total_visit_The_Fresh_Market,total_visit_Total_Wine_&_More,total_visit_Trader_Joe's,total_visit_Walmart_Neighborhood_Market,total_visit_Whole_Foods_Market,total_visit_Winn-Dixie,total_visit_ABC_Fine_Wine_&_Spirits,total_visit_Sprouts_Farmers_Market,num_grocery_stores,total_grocery_visit,num_Discretionary,num_High-Mid-Range,num_Low-Mid-Range,num_Workforce,avg_sqft_Discretionary,avg_sqft_High_Mid-Range,avg_sqft_Low-Mid-Range,avg_sqft_Workforce,avg_rent_Discretionary,avg_rent_High_Mid-Range,avg_rent_Low-Mid-Range,avg_rent_Workforce,Student_Housing,Affordable_Housing,Military_Housing,Senior_Housing,Adaptive_Reuse,Single_Family_Rental,Fractured_Condo,Completed,Planned,Prospective,Under_Construction,num_nearby_Burlington,num_nearby_Kohl's,num_nearby_Lowe's,num_nearby_Ross_Dress_for_Less,num_nearby_The_Home_Depot,num_nearby_Walmart,num_nearby_HomeGoods,num_nearby_T.J._Maxx,num_nearby_Marshalls,tot_visits_nearby_Burlington,tot_visits_nearby_Kohl's,tot_visits_nearby_Lowe's,tot_visits_nearby_Ross_Dress_for_Less,tot_visits_nearby_The_Home_Depot,tot_visits_nearby_Walmart,tot_visits_nearby_HomeGoods,tot_visits_nearby_T.J._Maxx,tot_visits_nearby_Marshalls,num_starbucks,has_starbucks,num_malls,tot_stores,2022 Total Population,2022 Population Density,2022 Median Household Income,2022 Median Net Worth,2022 Median Disposable Income,2022 Median Age,2022 Total Housing Units,2022 Median Home Value,2022 Owner Occupied HUs,2022 Renter Occupied HUs,2020 Median Year Structure Built: HUs (ACS 5-Yr),2022 Pop Age 25+: Bachelor's Degree,2022 Pop Age 25+: Grad/Professional Degree,2022 Apparel/Accessory Sales ($000) (SIC),2022 Furniture/Home Furnish Sales ($000) (SIC),2022 Home Improvement Sales ($000) (SIC),2022 Men`s Apparel,2022 Women`s Apparel,2022 Bought Clothing in Dept Store/6 Mo,2022 Bought Clothing in Discount Store/6 Mo,2022 Bought Clothing Online/6 Mo,2022 HH Purchased Low Ticket HH Furnishing/12 Mo,2022 Tapestry Adult Pop Base_x,2022 Discount Store Clothes Just as Good: 4-Agr Cmpl,2022 Total Daytime Population,2022 Daytime Pop Density,2022 Pop Age 15+: Married,2022 Pop Age 15+: Divorced,2022 Pop Age 15+: Never Married,2022 Black Population,2022 White Population,2022 Hispanic Population,2022 Total Crime Index,2022 Personal Crime Index,2022 Property Crime Index,2022 Tapestry Adult Pop Base_y,2022 Pop 18+ in Tapestry Seg 1A,2022 Pop 18+ in Tapestry Seg 1B,2022 Pop 18+ in Tapestry Seg 1C,2022 Pop 18+ in Tapestry Seg 1D,2022 Pop 18+ in Tapestry Seg 1E,2022 Pop 18+ in Tapestry Seg 2A,2022 Pop 18+ in Tapestry Seg 2B,2022 Pop 18+ in Tapestry Seg 2C,2022 Pop 18+ in Tapestry Seg 2D,2022 Pop 18+ in Tapestry Seg 3A,2022 Pop 18+ in Tapestry Seg 3B,2022 Pop 18+ in Tapestry Seg 3C,2022 Pop 18+ in Tapestry Seg 4A,2022 Pop 18+ in Tapestry Seg 4B,2022 Pop 18+ in Tapestry Seg 4C,2022 Pop 18+ in Tapestry Seg 5A,2022 Pop 18+ in Tapestry Seg 5B,2022 Pop 18+ in Tapestry Seg 5C,2022 Pop 18+ in Tapestry Seg 5D,2022 Pop 18+ in Tapestry Seg 5E,2022 Pop 18+ in Tapestry Seg 6A,2022 Pop 18+ in Tapestry Seg 6B,2022 Pop 18+ in Tapestry Seg 6C,2022 Pop 18+ in Tapestry Seg 6D,2022 Pop 18+ in Tapestry Seg 6E,2022 Pop 18+ in Tapestry Seg 6F,2022 Pop 18+ in Tapestry Seg 7A,2022 Pop 18+ in Tapestry Seg 7B,2022 Pop 18+ in Tapestry Seg 7C,2022 Pop 18+ in Tapestry Seg 7D,2022 Pop 18+ in Tapestry Seg 7E,2022 Pop 18+ in Tapestry Seg 7F,2022 Pop 18+ in Tapestry Seg 8A,2022 Pop 18+ in Tapestry Seg 8B,2022 Pop 18+ in Tapestry Seg 8C,2022 Pop 18+ in Tapestry Seg 8D,2022 Pop 18+ in Tapestry Seg 8E,2022 Pop 18+ in Tapestry Seg 8F,2022 Pop 18+ in Tapestry Seg 8G,2022 Pop 18+ in Tapestry Seg 9A,2022 Pop 18+ in Tapestry Seg 9B,2022 Pop 18+ in Tapestry Seg 9C,2022 Pop 18+ in Tapestry Seg 9D,2022 Pop 18+ in Tapestry Seg 9E,2022 Pop 18+ in Tapestry Seg 9F,2022 Pop 18+ in Tapestry Seg 10A,2022 Pop 18+ in Tapestry Seg 10B,2022 Pop 18+ in Tapestry Seg 10C,2022 Pop 18+ in Tapestry Seg 10D,2022 Pop 18+ in Tapestry Seg 10E,2022 Pop 18+ in Tapestry Seg 11A,2022 Pop 18+ in Tapestry Seg 11B,2022 Pop 18+ in Tapestry Seg 11C,2022 Pop 18+ in Tapestry Seg 11D,2022 Pop 18+ in Tapestry Seg 11E,2022 Pop 18+ in Tapestry Seg 12A,2022 Pop 18+ in Tapestry Seg 12B,2022 Pop 18+ in Tapestry Seg 12C,2022 Pop 18+ in Tapestry Seg 12D,2022 Pop 18+ in Tapestry Seg 13A,2022 Pop 18+ in Tapestry Seg 13B,2022 Pop 18+ in Tapestry Seg 13C,2022 Pop 18+ in Tapestry Seg 13D,2022 Pop 18+ in Tapestry Seg 13E,2022 Pop 18+ in Tapestry Seg 14A,2022 Pop 18+ in Tapestry Seg 14B,2022 Pop 18+ in Tapestry Seg 14C,2022 Pop 18+ in Tapestry Seg 15
31,Marshalls,FL,26.21278703,-80.10717035,415341,"26.21278703,-80.10717035",2,6,1,0,0,1,0,1,0,0,537472,5021535,390019,0,0,757405,0,292893,0,0,11,6999324,5,13,19,18,990.5325334787035,900.653797293978,847.5030539244508,748.4449975649067,2669.25,1580.25,1552.3333333333333,1224.4,0.0,16.0,0.0,1.0,0.0,0.0,0.0,33.0,12.0,8.0,2.0,3,2,4,10,7,9,2,3,4,1251307,908392,2709614,3282144,6967053,16778262,593087,1116871,1074923,0,0,3,83.0,146363,5080.7,68035,155374,57634,49.0,85827,416643,40173,27490,1970,24589,17050,109929,360730,484519,33851315,59844434,44709,17959,40880,14552,123486,36452,178781,6206.0,56077,18685,43131,24022,85709,33982,153,138,156,123486,173,0,0,0,603,7536,0,0,0,0,0,0,0,44,0,0,3404,2563,5307,0,0,0,4613,0,658,0,0,0,7278,3132,0,716,4198,11879,0,0,8671,3140,709,11004,12884,2620,0,7848,0,0,0,0,0,0,0,0,4863,2558,2481,2166,19,1150,422,2323,0,5689,2836,0,0,0,0,0
32,Marshalls,FL,25.48042614,-80.46169303,414816,"25.48042614,-80.46169303",1,2,0,0,0,1,0,1,0,0,296086,2663736,0,0,0,722975,0,410546,0,0,5,4093343,2,9,25,57,996.8142857142857,1194.6517768980257,910.4533534324011,703.538169889021,1685.0,1846.25,,960.6,0.0,53.0,0.0,10.0,0.0,0.0,3.0,54.0,5.0,31.0,3.0,1,1,1,2,2,3,0,1,0,384789,321619,656538,950782,2356279,5652339,,487096,,1,1,2,33.0,166347,3929.0,52973,46033,45773,31.7,53945,288188,24149,26780,1997,14871,6345,41362,43397,139677,17061358,29541853,44858,17549,34527,10799,118258,40690,133461,3152.3,55450,13173,51280,31157,44951,115431,162,263,145,118258,0,0,0,3877,0,0,0,0,0,0,0,0,895,7280,3826,0,0,0,0,0,146,0,0,0,0,0,21426,3743,13559,6612,4716,2650,0,0,0,0,0,0,0,0,0,0,1735,0,0,421,0,0,0,0,0,0,7736,0,1512,0,0,0,3158,0,2394,11016,21555,0,0,0,0,0
33,Marshalls,FL,30.38944671,-86.43912186,406771,"30.38944671,-86.43912186",0,1,1,0,0,0,1,0,1,0,0,1531016,194367,0,0,0,546963,0,147558,0,4,2419904,3,5,0,0,929.544826759984,998.3286747323042,,,2061.3333333333335,2067.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0,0,1,2,1,3,1,0,0,,,544598,601816,530858,6640450,308755,,,0,0,2,38.0,15793,1477.8,82414,183904,67744,43.8,13832,411019,4083,2901,1997,3406,2050,74289,76392,123918,3756505,6673745,4900,2042,4860,1506,13188,3582,28267,2645.0,6913,1769,4385,460,12512,1428,137,116,141,13188,0,0,0,0,1879,2852,0,0,0,0,0,0,0,0,0,0,593,0,0,0,0,0,525,0,196,0,0,0,0,0,0,0,0,720,3758,0,0,0,0,852,1813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Marshalls,FL,26.17261584,-81.80103344,406080,"26.17261584,-81.80103344",0,2,1,0,0,0,0,0,0,0,0,1546556,203764,0,0,0,0,0,0,0,3,1750320,1,4,9,1,1039.872340425532,941.7176697530865,792.1159398195729,832.1789473684211,2440.0,2367.5,1594.6666666666667,1333.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,3.0,0.0,2,1,2,2,2,4,1,1,1,435942,383506,1537779,546723,2100884,6435766,485955,474058,374136,1,1,2,43.0,47459,1786.5,95592,416196,79848,61.0,35892,604486,16157,6575,1983,11306,8525,282803,265792,250631,16256011,28199756,14881,6317,13392,4877,41848,11745,95841,3607.8,23966,5504,8862,1448,38332,7323,87,49,93,41848,762,0,0,0,155,0,0,0,0,0,0,0,0,0,1252,0,0,722,0,2719,25,0,1002,0,0,0,0,0,976,0,0,0,0,0,1597,0,1846,2108,0,12805,1431,8113,63,3870,0,0,0,0,0,0,0,0,1336,0,1068,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Marshalls,FL,27.23554687,-80.26661916,403317,"27.23554687,-80.26661916",1,3,0,1,0,0,0,1,0,0,273222,1922603,0,342962,0,0,0,211438,0,0,6,2750225,0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,1,3,1,4,4,2,1,0,478284,391326,1674642,327486,3252388,8375952,700578,420282,,3,1,2,42.0,42634,2000.5,72448,200830,58698,51.4,21887,288932,13511,5324,1985,6456,3698,88321,127360,131500,8046314,14641567,12582,5389,11245,4090,36003,10451,58178,2729.9,17833,6271,9961,3559,32086,5777,70,54,72,36003,0,0,0,0,2788,0,0,0,0,0,0,0,0,0,0,1175,3179,0,831,2419,0,0,2633,0,0,3115,0,0,2307,0,0,0,0,0,0,0,97,3960,0,2986,1285,1939,2190,611,0,0,0,0,0,0,0,0,1681,1288,0,0,0,282,1237,0,0,0,0,0,0,0,0,0
36,Marshalls,FL,26.31571519,-80.15697515,396312,"26.31571519,-80.15697515",1,6,0,0,0,1,0,1,0,0,297929,4906099,0,0,0,944260,0,466128,0,0,9,6614416,10,36,16,2,1130.8124358217106,1002.634063797332,823.4710832733714,711.7288557213931,2597.1111111111113,2144.866666666667,1660.5714285714287,1550.0,0.0,10.0,0.0,5.0,0.0,1.0,4.0,56.0,2.0,6.0,0.0,2,2,3,9,8,9,4,3,5,845900,908392,2285727,3039771,8023793,16287436,1618352,1325753,1631353,2,1,4,152.0,132059,4369.1,65962,157092,56225,46.0,65159,328551,35902,20379,1984,25953,13663,42369,235725,247023,25135046,44268464,40381,16558,35306,12227,109487,32567,134165,4438.8,53279,14994,36014,17777,70904,29959,70,51,73,109487,1937,82,0,513,746,0,254,0,2597,0,0,0,14809,10434,2365,0,6628,1466,1608,0,109,0,0,0,0,0,0,0,1702,0,0,0,70,2267,7964,0,0,1381,0,647,6765,9962,2136,11601,0,0,0,0,1619,0,0,4771,8414,2766,0,838,0,751,2286,0,0,0,0,0,0,0,0,0
37,Marshalls,FL,26.84377179,-80.0737879,395690,"26.84377179,-80.0737879",0,5,0,1,1,0,1,0,1,0,0,3674284,0,353129,754631,0,991086,0,62829,0,9,5835959,8,10,2,0,1325.5127326839827,1062.068962029144,1011.6666666666666,,3057.6,2407.3333333333335,1423.0,,0.0,4.0,0.0,1.0,0.0,1.0,1.0,15.0,1.0,4.0,0.0,2,1,2,4,3,3,2,3,1,619808,282832,1027946,1035719,2612070,4919185,735224,1114647,458671,0,0,3,85.0,88620,2762.1,89990,278929,75731,49.8,46781,405793,27252,12460,1983,19894,12859,162762,227504,279874,24091473,42994165,27041,11148,24923,8728,74632,21210,112795,3515.6,39420,10285,21594,12925,60604,11115,121,90,126,74632,186,0,1504,2494,7777,0,0,0,3055,0,0,0,0,0,0,1566,4650,5554,4078,1583,0,0,846,0,0,0,702,0,653,0,0,0,0,2053,0,0,1135,7647,0,7217,2653,3342,718,4554,0,0,0,0,74,0,0,905,3088,1637,0,142,0,0,2750,0,0,0,1345,720,0,0,0,0
38,Marshalls,FL,29.13878799,-82.19278881,394080,"29.13878799,-82.19278881",1,2,0,0,0,0,0,0,1,0,217756,1983551,0,0,0,0,0,0,122214,0,4,2323521,1,5,9,4,1223.3684210526317,1106.187623794995,906.7782101437052,1439.0622406639004,1962.0,1585.6,1335.0,1532.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,13.0,1.0,4.0,1.0,1,1,3,2,1,3,1,1,0,333372,420439,2491908,605204,992389,6834129,461838,486906,,1,1,3,59.0,35475,987.9,51538,67120,43522,43.3,16108,219013,7316,7074,1993,4574,2652,65475,125494,248153,4880415,8719405,10545,4560,8260,2985,28946,8967,61863,1722.7,12534,4364,9877,6111,19987,7786,173,150,177,28946,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,4345,1556,0,0,0,0,0,0,285,0,0,0,0,0,0,408,0,0,0,0,0,0,0,2745,2074,0,0,2760,2553,3399,0,0,0,0,31,0,0,0,0,4036,1163,0,0,188,358,0,0,1864,0,0,0,0,0,0
39,Marshalls,FL,26.58642025,-81.86958965,393505,"26.58642025,-81.86958965",1,3,1,1,1,0,0,1,0,0,192245,2535413,327219,422594,548098,0,0,257582,0,0,8,4283151,1,17,29,14,1158.6822429906542,984.2925331157721,922.2629382101096,741.5467021503086,1830.0,1640.6666666666667,1406.2222222222222,986.0,0.0,15.0,0.0,6.0,0.0,0.0,2.0,47.0,1.0,11.0,2.0,3,2,4,4,4,6,3,3,1,920631,1050241,3031260,1320829,4470097,11426042,1109486,1044030,423864,0,0,3,54.0,79708,2710.4,55615,79465,48648,42.2,43039,260143,17803,18078,1984,11688,7048,99404,255553,304827,13862671,24502801,23267,9718,19940,7967,64622,19617,124243,4224.8,27907,10748,22518,13026,45629,18683,113,146,108,64622,0,0,0,0,1341,0,0,0,0,0,0,0,0,0,0,3245,7069,0,4357,1559,277,0,0,0,0,0,0,0,0,0,0,0,0,1789,693,0,0,3581,2155,271,3535,3201,182,4678,478,0,0,0,0,0,0,5407,11702,737,2374,0,919,2128,1206,0,0,1738,0,0,0,0,0,0
40,Marshalls,FL,28.49535372,-81.43035435,392484,"28.49535372,-81.43035435",1,2,0,1,0,1,0,0,1,0,130063,1758306,0,461074,0,488467,0,0,29092,0,6,2867002,14,58,38,35,1013.2878049990511,935.7764124061144,900.8677148017765,752.6243472488261,1829.0714285714287,1575.0454545454545,1362.3125,1205.4,0.0,43.0,0.0,7.0,0.0,0.0,7.0,113.0,4.0,20.0,8.0,5,0,4,15,7,7,3,2,6,1689287,,2695287,4785539,5288927,14521028,684794,625957,2290835,3,1,6,83.0,113722,4121.0,45605,14526,39268,32.2,46114,172371,10499,31235,1985,14152,4454,463100,381337,271502,12673805,21841385,30367,12282,24811,9067,87773,28390,145849,5285.2,32018,12456,43272,46951,23719,41029,203,253,194,87773,0,42,0,292,0,0,0,0,0,0,71,0,0,0,0,0,222,663,0,0,0,68,0,0,0,0,0,0,5609,1736,0,0,0,0,4581,0,0,0,4664,0,0,0,1039,0,0,0,0,0,0,0,0,24950,25336,0,2502,2270,2917,560,6990,0,0,1156,0,0,0,0,0,2106
41,Marshalls,FL,27.01499547,-82.14422047,376088,"27.01499547,-82.14422047",1,1,0,0,0,1,0,0,0,0,244671,944952,0,0,0,770068,0,0,0,0,3,1959691,0,1,5,4,,975.4597701149426,991.2121212121212,562.2142857142857,,1779.0,1277.0,,0.0,4.0,0.0,3.0,0.0,0.0,0.0,6.0,1.0,3.0,0.0,1,1,2,2,3,3,1,1,0,267525,359070,995565,501116,2095959,6217772,342255,372532,,2,1,0,0.0,73531,1258.6,58413,196659,50980,50.7,35096,236417,24072,6495,1987,7602,4346,52141,125160,270159,10574924,19860844,21964,9520,17770,6729,61104,19322,72393,1239.1,33679,8496,15236,5355,56753,8633,83,82,84,61104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14223,1178,0,0,0,14296,0,0,3118,0,2283,1077,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,4086,10694,1318,0,1060,0,0,0,981,0,0,0,0,0,0,1128,5551,0,0,0,0,0,0,0,0,0,0
42,Marshalls,FL,28.03888338,-80.66485967,375449,"28.03888338,-80.66485967",1,3,0,0,0,1,0,3,1,0,306351,2926731,0,0,0,618759,0,1167827,59149,0,9,5078817,2,2,22,14,1061.0495847625925,949.005,964.0486714284573,722.3554703409052,1628.5,1689.5,1481.6666666666667,1103.25,0.0,6.0,0.0,2.0,0.0,1.0,3.0,31.0,1.0,6.0,2.0,1,1,3,3,2,4,1,0,0,283060,455402,1701081,970200,1260355,7376650,257867,,,1,1,2,55.0,108911,2261.0,57184,168057,50283,44.0,47843,233985,31843,12148,1989,13942,8486,36362,141554,251968,15190954,28346499,32103,14107,27194,9443,88543,27138,97955,2033.6,41966,13432,29057,13980,70235,17884,86,84,86,88543,0,0,0,2776,0,0,0,0,0,0,0,0,4827,560,4690,4729,0,0,14400,10236,1074,3861,535,0,78,3377,0,0,480,0,0,0,0,0,0,0,0,9938,2620,0,414,1078,3863,6477,633,5634,0,0,1584,0,0,0,0,2835,0,0,245,1571,27,0,0,0,0,0,0,0,0,0
43,Marshalls,FL,26.27086874,-81.79847013,374136,"26.27086874,-81.79847013",0,3,0,0,1,0,1,0,1,0,0,2665992,0,0,441636,0,972536,0,94937,0,6,4175101,1,8,1,0,1095.0333333333333,1004.0057560179874,,,2420.0,1875.5,,,0.0,4.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,1.0,1,1,1,3,3,2,2,2,1,250447,383506,867257,713167,3055081,3471151,688777,898454,406080,1,1,5,187.0,74217,1903.9,90230,375776,76324,59.0,52381,460370,25526,10078,1993,17501,13632,101613,282563,228964,22541928,39906838,23242,9479,22152,7685,64771,17672,100121,2568.4,39775,8048,12163,1159,60543,11203,92,61,97,64771,861,0,0,0,5660,0,0,0,0,0,0,0,0,0,0,0,39,1416,0,3089,3955,0,0,0,662,0,0,0,1807,0,0,0,0,0,1416,0,3690,5335,0,18421,8090,6319,1679,1710,0,0,0,0,0,0,0,0,0,0,0,0,0,604,0,0,0,16,0,0,0,0,0,0
44,Marshalls,FL,26.36594881,-80.1735641,367379,"26.36594881,-80.1735641",1,5,1,0,0,0,0,1,1,0,340853,4596941,321886,0,0,0,0,466128,100377,0,9,5826185,8,28,0,0,1307.9012488910842,961.3209237716379,,,2884.5714285714284,2309.6363636363635,,,0.0,3.0,0.0,2.0,0.0,2.0,1.0,33.0,2.0,1.0,0.0,2,2,3,8,7,8,4,4,4,845900,908392,2285727,2758116,7314006,14260500,1618352,1627828,1353917,1,1,7,203.0,153583,3557.8,82353,298946,68647,51.4,72323,364078,47534,16831,1985,35908,22807,266624,197043,187011,36248961,63509327,48061,20119,43088,14067,129909,36318,147965,3427.7,68760,16243,36746,8971,100976,30645,45,28,47,129909,8593,3673,0,7073,4431,0,77,0,884,0,0,0,5297,18604,88,0,8827,1336,0,0,739,0,0,0,0,0,0,0,1450,0,0,0,2633,1817,2958,0,0,2366,0,1379,17232,19335,850,7007,0,0,0,0,2304,0,0,2929,4437,3591,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Marshalls,FL,26.04343239,-80.15896058,363170,"26.04343239,-80.15896058",1,5,0,0,0,1,0,1,0,0,383014,4879932,0,0,0,764185,0,286012,0,0,8,6313143,7,12,46,21,1015.7815259013418,1055.5690882250922,748.6029089752792,742.5316814863008,2156.0,2135.3,1398.142857142857,1111.0,0.0,14.0,0.0,4.0,0.0,0.0,1.0,34.0,18.0,27.0,7.0,9,2,2,14,8,10,2,6,4,3166333,760931,1289397,4192182,8941228,19410159,793028,2229910,1213048,0,0,2,94.0,165612,4039.7,58716,75657,51253,42.3,77695,324555,33519,34349,1971,24039,14182,97498,334187,473520,26580242,47112672,48990,19711,42672,14863,134072,41517,193382,4717.1,59844,20090,50407,36392,73070,59798,146,124,149,134072,0,0,0,357,1881,2231,8229,0,1838,0,1541,123,1556,1769,0,849,6522,1519,1060,1263,0,0,876,0,0,0,0,1681,6831,0,0,961,1266,7041,4898,0,11285,10688,0,0,3545,0,3397,3764,0,0,0,0,1919,0,398,3464,7252,17252,4681,5415,0,0,4061,380,0,1506,775,0,0,0,0,0
46,Marshalls,FL,26.52946565,-80.09281893,360793,"26.52946565,-80.09281893",1,5,0,1,0,1,0,0,1,0,63477,4530525,0,332659,0,544660,0,0,65167,0,9,5536488,10,20,17,5,1104.0435697415028,1056.0775674179583,1016.6827619949495,674.6527777777778,2395.6,2097.0625,1974.6666666666667,1582.5,0.0,3.0,0.0,1.0,0.0,1.0,4.0,36.0,5.0,10.0,1.0,1,1,1,6,5,6,1,3,2,315678,534774,693216,1960858,5368334,9255984,455531,1435933,635056,1,1,5,143.0,203072,4092.0,68390,197445,57295,49.3,100276,296133,59106,27306,1987,34697,20070,107087,169437,209081,39097008,67684085,62325,26237,51168,18269,169505,51245,177431,3575.4,83847,21351,53617,49237,112177,37617,104,101,104,169505,0,0,1890,3199,448,17,1690,0,0,0,3988,0,2916,17654,0,1135,2197,2251,5528,1965,0,0,614,0,0,0,2723,0,12537,1084,238,4751,0,2184,6165,0,1710,5205,1073,10340,6375,33444,0,7686,0,0,0,0,3445,0,0,5913,5784,2450,1085,3008,0,3374,2670,0,0,771,0,0,0,0,0,0
47,Marshalls,FL,30.48249025,-81.6407356,360382,"30.48249025,-81.6407356",1,1,0,0,0,0,0,1,0,0,244801,1450882,0,0,0,0,0,530311,0,0,3,2225994,4,4,8,0,1023.0830792034053,1051.8573420406062,1068.9800606060605,,1646.25,1549.6666666666667,1213.6666666666667,,0.0,3.0,0.0,2.0,0.0,0.0,0.0,11.0,1.0,2.0,3.0,1,0,1,1,1,2,0,0,0,234146,,664432,409762,699150,3845602,,,,1,1,2,28.0,27951,878.2,63090,96408,53969,37.2,11813,233539,6251,4729,1998,2932,1408,21498,51094,90699,4002817,7327016,8193,3283,6467,2508,21136,7170,34267,1076.7,10118,3330,7572,9973,13458,2611,171,176,170,21136,0,0,0,0,0,0,0,0,0,0,0,0,0,918,11180,0,0,0,959,0,1131,307,0,0,0,0,0,0,259,0,0,0,0,0,0,0,694,0,953,0,0,0,0,0,0,614,0,0,2248,0,0,0,1513,0,0,195,164,0,0,0,0,0,0,0,0,0,0,0
48,Marshalls,FL,26.28817959,-80.24929148,358726,"26.28817959,-80.24929148",1,7,1,1,1,1,0,0,0,0,296681,5824711,357329,347755,388874,562812,0,0,0,0,12,7778162,11,20,4,0,1198.568892325378,1028.9163505526099,906.152427184466,,2478.090909090909,2108.4117647058824,1664.0,,0.0,2.0,0.0,2.0,0.0,0.0,2.0,31.0,1.0,2.0,1.0,4,2,4,10,8,10,3,3,4,1580264,908392,2751602,3680607,8057313,18205853,1162821,1325753,1253598,0,0,2,46.0,199466,4713.8,86108,170365,72134,39.0,73094,375618,42955,26961,1988,35807,19949,169582,223483,320274,37540930,66795988,60719,23426,53565,15270,157218,46416,173552,4101.4,84657,19953,52593,43579,85756,57845,63,38,68,157218,1140,23888,0,9259,0,0,1451,0,6718,0,0,0,15538,30357,0,1290,2671,0,56,143,0,0,0,0,0,0,0,0,26706,0,0,0,4480,0,12570,0,3003,1960,0,0,4031,3412,13,1695,0,0,0,0,0,0,0,0,6838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Marshalls,FL,28.67530247,-81.4710751,358512,"28.67530247,-81.4710751",1,2,0,0,0,1,0,0,0,0,257554,1452682,0,0,0,887058,0,0,0,0,4,2597294,0,6,6,3,,956.9864136562301,918.2260696605375,,,1673.25,1683.5,,0.0,4.0,0.0,1.0,0.0,0.0,1.0,10.0,2.0,2.0,1.0,1,1,4,7,6,5,1,3,3,353038,538299,2203176,1874643,4571729,9832031,318395,1237723,995725,0,0,2,20.0,84974,2619.5,69857,170306,58270,39.1,31898,267291,20589,10000,1986,13817,5794,14182,106015,308018,13379338,24141628,25381,10127,20901,6802,66997,21235,77729,2396.2,33962,8168,24071,14691,42176,27139,95,89,95,66997,0,0,0,2671,0,0,241,0,0,0,0,0,2301,9922,2662,2158,0,0,0,0,11944,0,0,0,0,0,0,0,9880,0,0,0,0,0,6732,0,4156,247,0,0,0,0,0,0,0,1529,0,0,4067,0,0,2093,4049,0,961,177,0,0,1209,0,0,0,0,0,0,0,0,0
50,Marshalls,FL,28.39222915,-81.48445473,356655,"28.39222915,-81.48445473",0,2,0,0,0,0,0,1,1,0,0,2439100,0,0,0,0,0,189302,109783,0,4,2738185,14,27,15,1,1010.2456684430138,961.6262990878861,931.9514689509776,,1909.4615384615386,1901.7142857142858,1749.5,,0.0,3.0,0.0,0.0,0.0,0.0,1.0,36.0,2.0,12.0,7.0,3,1,2,15,5,8,2,4,3,840615,451703,1082197,4902131,3393883,20912054,442047,1465974,1194582,1,1,2,270.0,43678,1940.5,83334,98159,68995,36.1,20331,390488,7175,10043,1997,11036,5683,148096,12314,11960,10040481,17524009,13517,5576,12841,3754,35421,10411,70749,3143.3,19792,2425,12887,2377,20767,15082,170,147,174,35421,0,11459,0,0,1355,674,0,0,0,0,3065,0,5,0,0,1075,790,0,2681,0,0,0,0,0,0,0,4693,0,331,0,0,0,0,0,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923,0
51,Marshalls,FL,28.22398965,-81.64276718,356560,"28.22398965,-81.64276718",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,6,7,3,1166.0185975609756,1041.8331560140311,965.1130674846626,,1896.5,1735.1666666666667,1652.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,9.0,1.0,6.0,2.0,1,0,2,2,0,3,1,1,0,379602,,1222395,1025038,,9760329,329864,403661,,1,1,1,32.0,42227,1414.8,65947,170967,55341,42.4,21622,230499,11799,3499,2004,6205,2863,5417,40693,23673,5608958,10421267,12496,5108,10234,3297,33463,10410,33050,1107.3,19760,3183,10113,4237,21769,17220,130,137,128,33463,0,0,0,0,0,0,0,0,0,0,0,0,0,6494,352,0,0,0,4742,0,0,0,0,0,2686,0,2835,0,0,0,0,0,0,0,2707,0,0,0,0,3519,0,0,80,0,0,9742,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
