,PROPERTY_ID,PROPERTY_NAME,PROPERTY_ADDRESS,PROPERTY_CITY,COUNTY_NAME,PROPERTY_STATE,PROPERTY_ZIPCODE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_STATUS,PROPERTY_STUDENTHOUSING,PROPERTY_AFFORDABLEHOUSING,PROPERTY_MILITARYHOUSING,PROPERTY_AGERESTRICTED,PROPERTY_FRACTUREDCONDO,PROPERTY_ADAPTIVEREUSE,PROPERTY_SINGLEFAMILYRENTAL,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_MIXEDUSE,PROPERTY_MIXEDUSE_NOTES,Impr_Rating,Loc_Rating,Property_Overall_Rating,Student_Housing,Affordable_Housing,Military_Housing,Senior_Housing,Fractured_Condo,Adaptive_Reuse,Single_Family_Rental,Mixed_Use,sqft_mixed_use
4671,143_166,Sandlin Villa,324 Cardinal Drive SW,Decatur,Morgan,AL,35601,34.573874,-86.987379,260,182556,C+,C+,Completed,N,N,N,N,,,,96.2,525,FALSE,,Workforce,Workforce,,0,0,0,0,,,,0,0
4672,143_175,Arch Street Apartment Homes,100 Arch Street Place,Madison,Madison,AL,35758,34.7071994,-86.7077908,267,256864,A,A-,Completed,N,N,N,N,,,,97.4,1356,FALSE,,Discretionary,High Mid-Range,,0,0,0,0,,,,0,0
4673,143_176,Grand Reserve at Madison,244 Kyser Blvd,Madison,Madison,AL,35758,34.6897573,-86.7595087,232,332626,B+,B,Completed,N,N,N,N,,,,89.2,1402,FALSE,,High Mid-Range,Low Mid-Range,,0,0,0,0,,,,0,0
4674,143_191,Wheeler Estates,134 McEntire Lane SW,Decatur,Morgan,AL,35603,34.591499,-87.0365829,216,205800,C+,B-,Completed,N,N,N,N,,,,97.2,782,FALSE,,Workforce,Low Mid-Range,,0,0,0,0,,,,0,0
4675,143_196,Capital Park at Seventy - Two West,6941 Highway 72 West,Huntsville,Madison,AL,35806,34.75108,-86.706511,233,252450,A,B-,Completed,N,N,N,N,,,,97,1390,FALSE,,Discretionary,Low Mid-Range,,0,0,0,0,,,,0,0
4676,143_202,Magnolia Pointe at Madison,7900 Old Madison Pike,Madison,Madison,AL,35758,34.7074224,-86.7183015,204,250284,B+,B+,Completed,N,N,N,N,,,,97.5,1245,FALSE,,High Mid-Range,High Mid-Range,,0,0,0,0,,,,0,0
4677,143_206,Walden at Providence,6500 Walden Run Circle,Huntsville,Madison,AL,35806,34.751461,-86.68901,244,233472,A-,B,Completed,N,N,N,N,,,,95.9,1313,FALSE,,High Mid-Range,Low Mid-Range,,0,0,0,0,,,,0,0
4678,143_210,Presbyterian,2211 Country Club Avenue NW,Huntsville,Madison,AL,35816,34.7437152,-86.6045102,206,115974,C,B,Completed,N,P,N,A,,,,93.7,567,FALSE,,Workforce,Low Mid-Range,,0,1,0,1,,,,0,0
4679,143_215,Artisan Twickenham Square,700 Dorothy Ford Lane,Huntsville,Madison,AL,35801,34.7224217,-86.5846788,246,199380,A,B-,Completed,N,N,N,N,,,,96.7,1576,FALSE,,Discretionary,Low Mid-Range,,0,0,0,0,,,,0,0
4680,143_217,Stadium,2999 Woodway Drive SW,Huntsville,Madison,AL,35805,34.7087892,-86.6082025,272,169910,C+,C,Completed,N,N,N,N,,,,98.5,728,FALSE,,Workforce,Workforce,,0,0,0,0,,,,0,0
4681,143_220,Candlewood,1208 Julia Street NW,Huntsville,Madison,AL,35816,34.731629,-86.621173,254,197670,C+,C+,Completed,N,N,N,N,,,,100,760,FALSE,,Workforce,Workforce,,0,0,0,0,,,,0,0
4682,143_246,"Beacon, The",4515 Bonnell Drive NW,Huntsville,Madison,AL,35816,34.7437436,-86.6432278,224,188600,B,B-,Completed,N,N,N,N,,,,81.3,957,FALSE,,Low Mid-Range,Low Mid-Range,,0,0,0,0,,,,0,0
4683,143_250,Brixworth at Bridge Street,6620 Old Madison Pike NW,Huntsville,Madison,AL,35806,34.715682,-86.668867,208,175899,B+,B,Completed,N,N,N,N,,,,97.1,988,FALSE,,High Mid-Range,Low Mid-Range,,0,0,0,0,,,,0,0
