Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_Discretionary,num_High-Mid-Range,num_Low-Mid-Range,num_Workforce,avg_sqft_Discretionary,avg_sqft_High_Mid-Range,avg_sqft_Low-Mid-Range,avg_sqft_Workforce,avg_rent_Discretionary,avg_rent_High_Mid-Range,avg_rent_Low-Mid-Range,avg_rent_Workforce,Student_Housing,Affordable_Housing,Military_Housing,Senior_Housing,Adaptive_Reuse,Single_Family_Rental,Fractured_Condo
8,T.J. Maxx,TN,35.84369359,-86.42686426,561342,"35.84369359,-86.42686426",0,19,9,8,,1043.951809,1027.519343,720.0231583,,1461.315789,1336.833333,871.4285714,0,4,0,1,0,0,0
9,T.J. Maxx,TN,35.94843845,-86.82378745,556232,"35.94843845,-86.82378745",6,12,4,1,1002.620767,1006.288604,897.1714744,697.6,2036.166667,1925.818182,1369.25,,0,1,0,1,0,0,0
10,T.J. Maxx,TN,36.34252832,-82.37427925,545687,"36.34252832,-82.37427925",0,4,9,2,,930.9127566,991.263181,816.9230769,,1032.25,1126.857143,927,2,0,0,0,0,1,0
11,T.J. Maxx,TN,36.58458236,-87.29943281,534449,"36.58458236,-87.29943281",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
12,T.J. Maxx,TN,35.10794912,-89.89152508,500644,"35.10794912,-89.89152508",0,3,9,18,,1015.935103,1164.453948,862.0231717,,1633.333333,1404.888889,770.1428571,1,4,0,3,0,0,0
13,T.J. Maxx,TN,35.13082689,-85.24237553,500491,"35.13082689,-85.24237553",0,3,7,3,,1164.658665,961.3357186,848.7705128,,1462.666667,1243.5,959,0,4,0,1,0,0,0
14,T.J. Maxx,TN,35.19806565,-89.79795181,493384,"35.19806565,-89.79795181",0,8,10,0,,1035.557396,1001.340501,,,1402.75,1018.666667,,1,1,0,1,0,0,0
15,T.J. Maxx,TN,35.98682337,-86.55388837,485393,"35.98682337,-86.55388837",0,4,18,2,,1064.308701,931.7512979,618.75,,1599.5,1213.75,,0,11,0,4,0,0,0
16,T.J. Maxx,TN,35.09294198,-89.80711403,472892,"35.09294198,-89.80711403",0,10,10,3,,1036.366172,1071.776768,751.5944515,,1572.777778,1220.3,753,0,1,0,2,0,0,0
17,T.J. Maxx,TN,35.59649977,-87.05967781,420748,"35.59649977,-87.05967781",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
18,T.J. Maxx,TN,36.54353673,-82.5164586,411169,"36.54353673,-82.5164586",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
19,T.J. Maxx,TN,36.2929558,-86.7005579,394611,"36.2929558,-86.7005579",0,1,15,21,,952.3859649,1038.719865,879.3976273,,1560,1372.666667,1132,0,11,0,3,0,0,0
20,T.J. Maxx,TN,36.07580319,-86.92191319,327611,"36.07580319,-86.92191319",0,1,19,0,,1020.035608,1090.404294,,,1923,1515.444444,,0,1,0,0,0,0,0
21,T.J. Maxx,TN,35.15045294,-89.919667,308351,"35.15045294,-89.919667",0,2,3,20,,888.7159549,1112.375851,795.0681024,,1618.5,2088,787.2,3,6,0,1,0,0,0
22,T.J. Maxx,TN,35.03692797,-85.15375197,192587,"35.03692797,-85.15375197",0,4,16,5,,1034.731666,998.7296315,806.841332,,1353.25,1257.733333,965.5,0,2,0,0,0,0,0
1,T.J. Maxx,FL,25.65297847,-80.41389258,1134979,"25.65297847,-80.41389258",0,5,15,8,,978.6658753,961.1432928,632.4260796,,2325.6,1986.642857,1244.25,0,5,0,2,0,0,1
2,T.J. Maxx,FL,29.6620785,-82.42281801,827305,"29.6620785,-82.42281801",0,5,16,21,,1133.784196,1123.769551,788.5517407,,1616.6,1536.266667,958.2777778,6,4,0,1,0,0,1
3,T.J. Maxx,FL,30.49295275,-87.22688285,817421,"30.49295275,-87.22688285",0,0,18,20,,,1081.845277,841.1436964,,,1524,1084.625,0,6,0,2,0,0,0
4,T.J. Maxx,FL,26.58756608,-80.14509673,802937,"26.58756608,-80.14509673",0,2,4,3,,1172.259006,1007.817296,916.9079365,,2333.5,1687.5,1563,0,5,0,1,0,1,1
5,T.J. Maxx,FL,28.55369117,-81.19964538,768982,"28.55369117,-81.19964538",0,16,24,1,,1065.892985,1118.682921,540,,1999.2,2133.055556,,12,8,0,1,0,0,1
6,T.J. Maxx,FL,26.15151895,-80.32182243,697556,"26.15151895,-80.32182243",0,11,3,0,,1083.222794,1058.561034,,,2351.727273,1946,,0,1,0,0,0,0,1
7,T.J. Maxx,FL,28.75430353,-81.34597083,673708,"28.75430353,-81.34597083",2,11,7,1,1126.945621,1071.64854,978.6185548,1167,1863,1829.4,1603.571429,,0,1,0,0,0,0,1
