Rank,Name,StoreID,Total_Visits,Lat,Long,Place_ID,City,County,State,zipcode,GEOID,TRACT,StateID,CountyID,TractPopulation,TractMedianIncome
4,Marshalls,1018,650072,28.52103765,-81.58389624,,,,,,12095017118,17118,12,95,5555,96369
5,Marshalls,146,622791,25.86463408,-80.31606456,,,,,,12086000705,705,12,86,4944,32330
6,Marshalls,194,599968,29.86862798,-81.32534911,,,,,,12109021301,21301,12,109,7990,60536
7,Marshalls,320,562742,25.74786693,-80.38838071,,,,,,12086014601,14601,12,86,3296,23553
8,Marshalls,1278,559928,28.34226274,-81.41032988,,,,,,12097042201,42201,12,97,7478,40858
9,Marshalls,329,559641,27.99839165,-81.96058114,,,,,,12105010702,10702,12,105,4437,56924
10,Marshalls,465,555623,28.20242974,-82.66406799,,,,,,12101031508,31508,12,101,5580,91923
11,Marshalls,285,552525,28.02853219,-82.50300763,,,,,,12057011908,11908,12,57,2295,-666666666
12,Marshalls,486,548214,26.14945018,-80.32563391,,,,,,12011060120,60120,12,11,6817,106345
13,Marshalls,408,541376,30.27075293,-81.39014639,,,,,,12031014203,14203,12,31,4766,134934
14,Marshalls,1328,527287,29.62730729,-82.38218874,,,,,,12001001522,1522,12,1,6674,38063
15,Marshalls,1010,502202,28.53635626,-82.50622751,,,,,,12053040801,40801,12,53,3966,51764
16,Marshalls,372,483807,25.6861927,-80.42254009,,,,,,12086017402,17402,12,86,5053,61207
17,Marshalls,284,482310,27.94261139,-82.32225189,,,,,,12057012212,12212,12,57,3426,46515
18,Marshalls,651,481957,25.93155015,-80.12302813,,,,,,12086000140,140,12,86,3696,65732
19,Marshalls,1332,473033,28.60393079,-81.36809838,,,,,,12095019000,19000,12,95,3814,82614
20,Marshalls,1293,466065,28.93027812,-82.01828307,,,,,,12119911703,911703,12,119,4380,66216
21,Marshalls,1269,458671,26.96015233,-80.08295057,,,,,,12099000102,102,12,99,2956,94083
22,Marshalls,1113,454293,30.22129622,-85.8701446,,,,,,12005002703,2703,12,5,2413,65278
23,Marshalls,1202,453903,27.79620131,-82.33245096,,,,,,12057013915,13915,12,57,9275,97060
24,Marshalls,264,436709,27.39169372,-82.45327833,,,,,,12081000810,810,12,81,5389,101300
25,Marshalls,464,435297,28.17546464,-82.35555788,,,,,,12101032109,32109,12,101,5301,96667
26,Marshalls,1019,429195,27.49891405,-81.485903,,,,,,12055960700,960700,12,55,3766,58333
27,Marshalls,805,427271,30.44015803,-84.25826912,,,,,,12073000903,903,12,73,2190,52443
28,Marshalls,392,424338,25.80987875,-80.19355365,,,,,,12086002600,2600,12,86,7195,49258
29,Marshalls,1003,423864,26.48581527,-81.78940397,,,,,,12071040138,40138,12,71,3927,109375
30,Marshalls,1042,417388,28.05040396,-82.69797409,,,,,,12103027326,27326,12,103,3895,72950
31,Marshalls,167,415341,26.21278703,-80.10717035,,,,,,12011030902,30902,12,11,3498,89741
32,Marshalls,816,414816,25.48042614,-80.46169303,,,,,,12086011011,11011,12,86,4021,55530
33,Marshalls,509,406771,30.38944671,-86.43912186,,,,,,12091023304,23304,12,91,4284,116033
34,Marshalls,176,406080,26.17261584,-81.80103344,,,,,,12021000302,302,12,21,1635,127750
35,Marshalls,350,403317,27.23554687,-80.26661916,,,,,,12085000400,400,12,85,7706,98077
36,Marshalls,325,396312,26.31571519,-80.15697515,,,,,,12011010402,10402,12,11,3470,55679
37,Marshalls,653,395690,26.84377179,-80.0737879,,,,,,12099000803,803,12,99,3263,110560
38,Marshalls,1471,394080,29.13878799,-82.19278881,,,,,,12083002505,2505,12,83,6019,70783
39,Marshalls,168,393505,26.58642025,-81.86958965,,,,,,12071001300,1300,12,71,3277,48823
40,Marshalls,511,392484,28.49535372,-81.43035435,,,,,,12095014504,14504,12,95,4978,59957
41,Marshalls,745,376088,27.01499547,-82.14422047,,,,,,12015020301,20301,12,15,6071,61667
42,Marshalls,232,375449,28.03888338,-80.66485967,,,,,,12009071335,71335,12,9,4664,71528
43,Marshalls,796,374136,26.27086874,-81.79847013,,,,,,12021010205,10205,12,21,2639,135278
44,Marshalls,473,367379,26.36594881,-80.1735641,,,,,,12099007741,7741,12,99,4371,51961
45,Marshalls,541,363170,26.04343239,-80.15896058,,,,,,12011080500,80500,12,11,7927,44271
46,Marshalls,340,360793,26.52946565,-80.09281893,,,,,,12099006012,6012,12,99,5179,60997
47,Marshalls,1132,360382,30.48249025,-81.6407356,,,,,,12031010301,10301,12,31,6359,67500
48,Marshalls,1169,358726,26.28817959,-80.24929148,,,,,,12011010604,10604,12,11,4312,105625
49,Marshalls,1059,358512,28.67530247,-81.4710751,,,,,,12095017807,17807,12,95,4113,60640
50,Marshalls,1428,356655,28.39222915,-81.48445473,,,,,,12095017022,17022,12,95,7813,47054
51,Marshalls,1463,356560,28.22398965,-81.64276718,,,,,,12105012509,12509,12,105,2152,86458
52,Marshalls,108,350911,27.26052384,-82.51795607,,,,,,12115002003,2003,12,115,5376,75745
53,Marshalls,813,341760,30.17570908,-81.62667292,,,,,,12031016808,16808,12,31,4055,78333
54,Marshalls,1198,339297,28.47550606,-81.28715209,,,,,,12095013507,13507,12,95,7046,42923
55,Marshalls,145,335509,25.62066372,-80.34234868,,,,,,12086008208,8208,12,86,4679,76497
56,Marshalls,1020,335028,28.55145091,-80.84290999,,,,,,12009061202,61202,12,9,3313,98113
57,Marshalls,196,332075,26.44065508,-80.07277198,,,,,,12099006502,6502,12,99,4216,81667
58,Marshalls,388,331600,27.90785906,-82.50472481,,,,,,12057006700,6700,12,57,6114,206582
59,Marshalls,1258,330807,27.98832505,-82.1249478,,,,,,12057013003,13003,12,57,3474,57877
60,Marshalls,207,323604,25.98142858,-80.35797757,,,,,,12011110360,110360,12,11,5977,143183
61,Marshalls,153,320817,28.79847527,-81.3341345,,,,,,12117020601,20601,12,117,8788,63246
62,Marshalls,867,315075,27.96626249,-82.72824974,,,,,,12103026819,26819,12,103,2700,60625
63,Marshalls,399,309341,26.01274602,-80.25153526,,,,,,12011110312,110312,12,11,7192,56528
