Unnamed: 0,Brand,Store.Number,Street.Address,City,State.Province,Postcode,Longitude,Latitude
521,Starbucks,11617-104966,"155 Palencia Village Dr., Suite 101",Saint Augustine,FL,320958450,-81.39,30.01
522,Starbucks,13645-107355,105 Fireworks Alley,Saint Augustine,FL,320921750,-81.5,30.06
523,Starbucks,14315-115145,4850 Park St.,Saint Petersburg,FL,337092226,-82.75,27.82
524,Starbucks,14076-112684,8801 4th St N.,Saint Petersburg,FL,337023123,-82.64,27.85
525,Starbucks,9396-94820,"6575 Central Avenue, Tyrone Square Mall",Saint Petersburg,FL,337108412,-82.73,27.77
526,Starbucks,11416-105350,6901 22nd Ave N.,Saint Petersburg,FL,337103943,-82.73,27.79
527,Starbucks,8535-67942,"900 4th Street North, A",Saint Petersburg,FL,33701,-82.64,27.78
528,Starbucks,8440-169484,2186 Tyrone Blvd North,Saint Petersburg,FL,337104024,-82.73,27.79
529,Starbucks,11256-104287,"4946 4th St., N, Space 400",Saint Petersburg,FL,337033835,-82.64,27.82
530,Starbucks,2852-90585,2577 Ulmerton Rd,Saint Petersburg,FL,337623340,-82.67,27.89
531,Starbucks,8353-14110,199 1st Ave. North,Saint Petersburg,FL,337013301,-82.64,27.77
532,Starbucks,27315-241068,1200 Red Cleveland Blvd,Sanford,FL,32773,-81.24,28.78
533,Starbucks,76308-96580,"1201 W P Ball Blvd, Sarasota Square Mall",Sanford,FL,32771,-81.33,28.8
534,Starbucks,11413-105353,"8201 S TAMIAMI TRL, A9",Sarasota,FL,342382966,-82.49,27.23
535,Starbucks,10444-209785,3604 84th Ave Circle East,Sarasota,FL,34243,-82.52,27.39
536,Starbucks,76755-108138,5350 Fruitville Rd,Sarasota,FL,342326401,-82.46,27.34
537,Starbucks,2966-93238,4321 S. Tamiami Trail,Sarasota,FL,342313451,-82.53,27.29
538,Starbucks,8562-73940,5485 University Pkwy,Sarasota,FL,342012012,-82.46,27.39
539,Starbucks,28863-251585,8394 S Tamiami Trail,Sarasota,FL,34238,-82.5,27.23
540,Starbucks,23751-206987,110 University Town Center Dr,Sarasota,FL,34243,-82.45,27.39
541,Starbucks,8629-91462,"1401 First Street, 1020",Sarasota,FL,342365709,-82.54,27.34
542,Starbucks,8435-21421,3571 Bee Ridge Rd,Sarasota,FL,342397234,-82.5,27.3
543,Starbucks,8596-204984,5825 Derek Avenue,Sarasota,FL,34238,-82.48,27.27
544,Starbucks,15716-160148,"3700 Cattleman Rd, Sarasota -  UTC",Sarasota,FL,34232,-82.45,27.3
545,Starbucks,76720-97612,101 N Cattleman Rd,Sarasota,FL,342434700,-82.46,27.39
546,Starbucks,22554-210485,"140 University Town Center Drive, Midtown Plaza Shopping Center",Sarasota,FL,34234,-82.45,27.38
547,Starbucks,8308-7907,1375 South Tamiami Trail,Sarasota,FL,342392210,-82.53,27.32
548,Starbucks,75983-108398,6024 Airport Circle,Sarasota,FL,342432140,-82.55,27.39
549,Starbucks,76215-90932,8401 S Tamiami Trail,Sarasota,FL,342382927,-82.49,27.23
550,Starbucks,8649-93119,"443 John Ringling Blvd, E",Sarasota,FL,342361427,-82.58,27.32
551,Starbucks,8687-94138,5329 Fruitville Rd,Sarasota,FL,342326402,-82.46,27.34
552,Starbucks,13239-104281,1768 US 27 N.,Sebring,FL,338701921,-81.49,27.5
553,Starbucks,26677-244909,"7398 Seminole Blvd., Bardmoor Village",Seminole,FL,33772,-82.79,27.84
554,Starbucks,10021-99441,10801 Starkey Rd,Seminole,FL,337771159,-82.76,27.87
555,Starbucks,8271-1182,"1455 Ocean Drive, Suite 100",South Beach,FL,331394133,-80.13,25.79
556,Starbucks,3862-141144,3101 Aerial Way,Spring Hill,FL,346040629,-82.6,28.5
557,Starbucks,76369-97115,4401 Commercial Way,Spring Hill,FL,346061914,-82.59,28.5
558,Starbucks,24561-227685,2345 S.R. 16,St Augustine,FL,32084,-81.41,29.92
559,Starbucks,75784-95931,333 1st St S,St Petersburg,FL,337014342,-82.63,27.77
560,Starbucks,27891-247865,4108 13th Street,St. Cloud,FL,34769,-81.31,28.25
561,Starbucks,76753-108139,"4450 Park St, Tyrone Square",St. Petersburg,FL,337094020,-82.76,27.81
562,Starbucks,26194-240788,"10195 Bay Pines Blvd, Suite 101",St. Petersburg,FL,33708,-82.78,27.81
563,Starbucks,8864-93473,2537 NW Federal Hwy,Stuart,FL,349949315,-80.27,27.24
564,Starbucks,76770-108133,2650 NW Federal Hwy,Stuart,FL,349949318,-80.27,27.23
565,Starbucks,13610-105966,5932 Southeast Federal Hwy,Stuart,FL,349977850,-80.21,27.13
566,Starbucks,8867-93595,2294 SE Federal Hwy,Stuart,FL,349944554,-80.24,27.18
567,Starbucks,8290-2302,"17100 Collins Avenue, #101",Sunny Isles Beach,FL,331603675,-80.12,25.93
568,Starbucks,13240-106100,"101 NW 136TH Ave, Sawgrass Mills- Regional Mall",Sunrise,FL,333252643,-80.33,26.12
569,Starbucks,8802-82468,"12801 W. Sunrise Blvd, Sawgrass Mills",Sunrise,FL,333234020,-80.32,26.15
570,Starbucks,2750-80620,"13755 West Sunrise Blvd, Building 2",Sunrise,FL,333233211,-80.33,26.15
571,Starbucks,8301-7028,3551 N. University Dr.,Sunrise,FL,333516723,-80.26,26.17
572,Starbucks,19090-195125,9560 Harding Avenue,Surfside,FL,33154,-80.12,25.89
573,Starbucks,9555-94584,3425 Thomasville Road,Tallahassee,FL,323093493,-84.25,30.5
574,Starbucks,76153-90927,2120 Apalachee Pkwy,Tallahassee,FL,323014819,-84.24,30.43
575,Starbucks,21593-211945,110 N WOodward Ave,Tallahassee,FL,32306,-84.3,30.44
576,Starbucks,8804-93689,1703 W Tennessee,Tallahassee,FL,323043436,-84.31,30.45
577,Starbucks,75456-107890,902 - 904 Wildwood Drive,Tallahassee,FL,323048044,-84.3,30.44
578,Starbucks,23514-230844,3844 N. Monroe St.,Tallahassee,FL,32303,-84.33,30.5
579,Starbucks,13569-107656,"2887 Kerry Forest Pkwy., Suite 500, Governor's Square",Tallahassee,FL,323124863,-84.23,30.54
580,Starbucks,11414-105365,"1500 APALACHEE PKWY, 1460",Tallahassee,FL,323013055,-84.25,30.44
581,Starbucks,5096-147004,116 Honors Way,Tallahassee,FL,32306,-84.3,30.44
582,Starbucks,76310-95268,3751 Bradfordville Rd,Tallahassee,FL,323091943,-84.22,30.56
583,Starbucks,24562-223704,"222 S Magnolia Drive, Suite 101",Tallahassee,FL,32301,-84.26,30.44
584,Starbucks,8552-75465,2264-1 North Monroe Street,Tallahassee,FL,323034789,-84.29,30.47
585,Starbucks,22769-217408,608 W. Tennesee Street,Tallahassee,FL,32304,-84.29,30.44
586,Starbucks,11348-104968,"3551 Blairstone Rd., S",Tallahassee,FL,323018826,-84.24,30.4
587,Starbucks,8538-67943,3409 Bay to Bay Blvd.,Tampa,FL,336297042,-82.5,27.92
588,Starbucks,27628-236910,"1501 E. Fowler Ave., International Plaza",Tampa,FL,33612,-82.44,28.05
589,Starbucks,29545-252805,4100 George J Bean Pkwy,Tampa,FL,33607,-82.54,27.97
590,Starbucks,15732-158664,10002 N. Dale Mabry Hwy,Tampa,FL,33618,-82.51,28.04
591,Starbucks,76807-108137,11627 W Hillsborough Ave,Tampa,FL,336359736,-82.61,28.02
592,Starbucks,20663-200072,"211 North Tampa Str, Citrus Park Mall",Tampa,FL,33602,-82.46,27.95
593,Starbucks,8485-57681,401 South Dale Mabry highway,Tampa,FL,336092820,-82.51,27.94
594,Starbucks,20080-202872,15240 N. Dale Mabry Hwy,Tampa,FL,33618,-82.5,28.09
595,Starbucks,24253-217326,2720 W. Dr. Martin Luther King Blvd.,Tampa,FL,33607,-82.49,27.98
596,Starbucks,47438-252406,4100 George J Bean Pkwy,Tampa,FL,33607,-82.54,27.97
597,Starbucks,21217-197264,13210 Bruce B Downs Blvd,Tampa,FL,33612,-82.43,28.07
598,Starbucks,29471-252804,4100 George J Bean Pkwy,Tampa,FL,33607,-82.54,27.97
599,Starbucks,75234-73821,"1 Tampa General Circle, Davis Island",Tampa,FL,336063571,-82.46,27.94
